image_id,image_path,img_width,img_height
1,../data/hico_20160224_det/images/train2015/HICO_train2015_00000001.jpg,640,480
2,../data/hico_20160224_det/images/train2015/HICO_train2015_00000002.jpg,640,480
3,../data/hico_20160224_det/images/train2015/HICO_train2015_00000003.jpg,599,640
4,../data/hico_20160224_det/images/train2015/HICO_train2015_00000004.jpg,640,427
5,../data/hico_20160224_det/images/train2015/HICO_train2015_00000005.jpg,640,425
6,../data/hico_20160224_det/images/train2015/HICO_train2015_00000006.jpg,640,457
7,../data/hico_20160224_det/images/train2015/HICO_train2015_00000007.jpg,640,480
8,../data/hico_20160224_det/images/train2015/HICO_train2015_00000008.jpg,640,426
9,../data/hico_20160224_det/images/train2015/HICO_train2015_00000009.jpg,640,427
10,../data/hico_20160224_det/images/train2015/HICO_train2015_00000010.jpg,640,427
11,../data/hico_20160224_det/images/train2015/HICO_train2015_00000011.jpg,640,426
12,../data/hico_20160224_det/images/train2015/HICO_train2015_00000012.jpg,640,427
13,../data/hico_20160224_det/images/train2015/HICO_train2015_00000013.jpg,640,398
15,../data/hico_20160224_det/images/train2015/HICO_train2015_00000015.jpg,457,640
16,../data/hico_20160224_det/images/train2015/HICO_train2015_00000016.jpg,640,427
17,../data/hico_20160224_det/images/train2015/HICO_train2015_00000017.jpg,640,480
18,../data/hico_20160224_det/images/train2015/HICO_train2015_00000018.jpg,640,425
19,../data/hico_20160224_det/images/train2015/HICO_train2015_00000019.jpg,640,427
20,../data/hico_20160224_det/images/train2015/HICO_train2015_00000020.jpg,640,480
21,../data/hico_20160224_det/images/train2015/HICO_train2015_00000021.jpg,640,296
22,../data/hico_20160224_det/images/train2015/HICO_train2015_00000022.jpg,640,428
23,../data/hico_20160224_det/images/train2015/HICO_train2015_00000023.jpg,451,640
24,../data/hico_20160224_det/images/train2015/HICO_train2015_00000024.jpg,640,478
25,../data/hico_20160224_det/images/train2015/HICO_train2015_00000025.jpg,640,428
26,../data/hico_20160224_det/images/train2015/HICO_train2015_00000026.jpg,426,640
27,../data/hico_20160224_det/images/train2015/HICO_train2015_00000027.jpg,431,640
28,../data/hico_20160224_det/images/train2015/HICO_train2015_00000028.jpg,640,427
29,../data/hico_20160224_det/images/train2015/HICO_train2015_00000029.jpg,640,427
30,../data/hico_20160224_det/images/train2015/HICO_train2015_00000030.jpg,640,414
31,../data/hico_20160224_det/images/train2015/HICO_train2015_00000031.jpg,640,480
32,../data/hico_20160224_det/images/train2015/HICO_train2015_00000032.jpg,640,426
33,../data/hico_20160224_det/images/train2015/HICO_train2015_00000033.jpg,472,640
34,../data/hico_20160224_det/images/train2015/HICO_train2015_00000034.jpg,640,424
35,../data/hico_20160224_det/images/train2015/HICO_train2015_00000035.jpg,428,640
36,../data/hico_20160224_det/images/train2015/HICO_train2015_00000036.jpg,640,427
37,../data/hico_20160224_det/images/train2015/HICO_train2015_00000037.jpg,640,441
38,../data/hico_20160224_det/images/train2015/HICO_train2015_00000038.jpg,640,426
39,../data/hico_20160224_det/images/train2015/HICO_train2015_00000039.jpg,612,612
40,../data/hico_20160224_det/images/train2015/HICO_train2015_00000040.jpg,640,480
